isbn,summary,rating
0590298402,"In the newest addition to a groundbreaking series by an award-winning
author, Sunny, through her diary, searches for answers to her
problems, including the stress of her mother&#39;s illness and a big
fight with her best friend. Original.",3
0425180638,"Attracting unwanted attentions when she is mandated to research the
four-hundred-year-old murder of a Jamestown, Virginia, settler, Kay
Scarpetta finds enemies among those she is sworn to protect. Reprint.",9
0394511042,"Included here are such classics as REMEMBERING NEEDLEMAN, THE
KUGELMASS EPISODE, a new sory called CONFESSIONS OF A BUGLAR, and
more. Copyright © Libri GmbH. All rights reserved.",5
0425180964,"In the wake of an assassination attempt on the SVR (former KGB)
chairman, newly elected U.S. president Jack Ryan puts black ops
specialist John Clark on the alert, only to have things complicated by
dangerous forces in China.",8
0515132624,"Ex-president John Harris flees potential arrest with the help of a
daring airline pilot, in a tale of international politics and
conspiracy.",7
0300095228,"Chronicling both the history of a place and the history of a medium,
this book portrays how Americans first came to understand western
photos and to envision their expanding nation. 138 illustrations.",10
1873741707,"This compelling suspense novel asks the question &#39;Who can you
trust?&#39; and comes up with some frightening answers. Rebecca
questions the people she meets and steals the stories they tell her,
claiming them for her own.",9
1873741731,"CHERRY is a snappy erotic novel that focuses on the dyke-eat-dyke
pursuit of the coolest, sexiest, richest, wildest, and sometimes the
saddest, girls around. This is wild sex for modern girls.",8
0812929802,"Describes how a mother struggled to cope when her unborn second child,
Adam, was diagnosed with Down syndrome, her decision to keep her son,
and his magical influence on her life",8
0060160713,"A skilled writer and expert on Native Americans tells the deeply
moving story of his adopted son Abel, who suffers from Fetal Alcohol
Syndrome.",9
1575664720,"Always the family watchdog, and faced with Frank&#39;s imminent
arrest, Melanie has no choice but to take on the investigation.",5
0060188057,"As he dispenses excellent hands-on gardening advice in Out in the
Garden, Riddle draws on his past and present, reflecting on family,
childhood, and growing up gay in South Carolina.",7
0930407032,"Blinded at age eight, Lusseyran nevertheless became an important
student leader in the French Resistance, was arrested by the Gestapo
and survived imprisonment at Buchenwald.",8
0789713896,Explains how to create and deliver Web applications,10
0226327736,"Works of the Spanish poet, in Spanish and in English, with annotations
and introductory essays.",7
0767905296,"The popular television news commentator offers an irreverent look at
what&#39;s right, what&#39;s wrong, and what&#39;s absurd in American
political, social, economic, and cultural life.",9
0764226312,"&quot; --Judith Pella, author of Written on the Wind &quot;Clever,
creative and full of non-stop action, Arena is a wonderful
introduction to new writer Karen Hancock. Don&#39;t miss the
opportunity to wrap your mind around this fascinating book.",9
0345447832,"Dr. Catherine Cordell, recovering from a brutal attack and hiding her
fear behind a mask of professionalism, is the only one that can stop a
psychotic killer known as &quot;The Surgeon,&quot; due to his horrific
methods of murder, before he kills ...",8
0702221449,"The story of Emma Wilhelm, an idealistic young woman, starts in SW
Africa at the turn of the century, and is recorded 60 years later by
her granddaughter.",5
0812523385,"Background information accompanies more than a hundred of
Dickinson&#39;s brief poems",8
0060952970,"At age sixteen, Sara Shandler read Mary Pipher&#39;s Reviving Ophelia,
the national bestseller that candidly explored the unique issues that
challenge girls in their struggle toward womanhood.",9
0974433926,"Osunsan&#39;s first collection of poems highlights the colorful
qualities of the human condition: its trials, hopes, losses, failures,
successes, fears, dreams and its endless facades.",7
0140104801,"Ten essays by the BBC&#39;s India correspondent, which provide a
lively view of the panorama of India and show Tully&#39;s own love of
this country.",8
